rate_name,class,quality,bathroom,bedding,capacity,bedrooms,club,balcony,view,floor
Master Suite Apartment,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Luxury Room, 2 Twin Beds (2 Twin Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Business Room, 1 King Bed (Deluxe) (1 King Bed)",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Premium Twin Room with Sea View non-smoking,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Junior Suite Duplex Room Breakfast,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,duplex floor
"Executive Suite, Sea View, Club Access(FIT Tour Operator - Wholesale 1)",suite,undefined,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
"Superior Suite, Sea View (1 Queen Bed)",room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Villa - Beach (1 Double or 1 Twin),room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard King room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
DELUXE ROOM Room Only,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Park View Two Queens,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Queen Room non-smoking,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Seaview, Guest room, 2 Twin Half Board",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Club Room, 2 Twin Beds (2 Twin Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,club,no balcony,undefined,undefined
"Family 2 Single Beds, Non-Smoking, 2 Single Beds, Family Room, 2 Connecting Rooms, Sleeps 4",room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Apartment 2 bedrooms Apartment 2 bedrooms,apartment,undefined,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
Superior standard double or twin room twin,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double Room - With Breakfast Urban City View-Bed & Breakfast-Refundable Rate,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Suite - Balcony Suite - Balcony,suite,undefined,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
DOUBLE STANDARD(Non-Refundable),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Three Bedroom Apartment Sea View Three Bedroom Apartment Sea,apartment,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Family Room Room Only,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Signature Suite Signature Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Deluxe Room, 1 Queen Bed, Sea View",room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Family room - Lagoon - Beach Family room - Lagoon - Beach beach,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Classic Double Room (1 Queen Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
standard double room(City view) (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Deluxe French,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"One Bedroom Suite Suite, 1 Bedroom, Beachfront(1 King Bed)",suite,undefined,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
Standard Double Partial Sea View Room Partial Sea,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Family room Basic rate without breakfast,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Family Family Sea View Sea,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,sea view,undefined
Single EXECUTIVE TWO BEDROOM APARTMENT,room,undefined,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Deluxe King Room Deluxe King - Terrace (1 Twin),room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double or Twin Room (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Room Breakfast,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Suite Suite (Extra ME, with Jacuzzi), 1 King Bed",suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Deluxe Twin Room, 2 Double Beds, Sea View (2 Double Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Single Luxe Double bed,room,standard,private bathroom,single bed,double,undefined,not club,no balcony,undefined,undefined
"Hilton, Basic Twin Room (2 Twin Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Bigger room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
junior suite,junior-suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Twin Room Twin Room,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Deluxe Room, 1 King Bed (Nile) (1 King Bed)",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Classic Room, 1 King Bed",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Junior Suite Full Board,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
JK Deluxe,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Double DELUXE PROMO,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard with bunk bed Basic Rate without breakfast,room,standard,private bathroom,bunk bed,double,undefined,not club,no balcony,undefined,undefined
Apartment 2 bedrooms - Executive Apartment 2 bedrooms - Executive,apartment,undefined,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
"Triple Room, Multiple Beds (1 Double Bed and 1 Twin Bed)",room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
Postvenetian De Luxe,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Superior Room, City View with free access to the hotels' private beach at Palm - Jumeirah",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard with balcony double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
Palace Lake View Room Palace Lake View Room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Business Suite non-smoking,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Triple Room (1 Double Bed and 1 Twin Bed),room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
"One Bedroom Suite Suite, 1 Bedroom, Balcony, Sea View, 1 King Bed Sea",suite,undefined,private bathroom,undefined,undefined,1 bedroom,not club,with balcony,undefined,undefined
Urban Large King Room with City View (1 King Bed),room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"1 King Bed, Non-Smoking, Superior Room, Larger Room, Sofa, Wi-Fi, Air-Conditioned",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior King,room,superior,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
1 King Bed Classic Balcony Marina View 1 King Bed Classic Balcony Marina View,room,standard,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
"1 Bedroom, King, Fountain View, Smoking 1 Bedroom, King, Fountain View, Smoking",room,undefined,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
Suite - King bed - Sea View Suite - King bed - Sea View sea,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Suite - City Suite - City city,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Villa - King - De Luxe - Private pool Villa - King - De Luxe - Private pool pool,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Lodges,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
suite room double Half Board,room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
2-room suite triple apartment with 1 double bed,room,undefined,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
The Loft Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Double Or Twin Room Twin/Double room - Superior (1 Double or 1 Twin),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
comfort with 2 separate beds,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Superior Room, Sea View (2 Twin Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Superior Suite Room Only,room,superior,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
JK Junior,junior-suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Suite - Grand - City View Suite - Grand - City View city,suite,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Villa, 2 Bedrooms (Pool)",villa,undefined,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
Villa Villa - King - De Luxe - Private pool,villa,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard room with 2 twin beds,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
01 Bedroom City View - Single,room,standard,private bathroom,single bed,single,01 bedroom,not club,no balcony,undefined,undefined
2 Twin Beds Smoking(FIT Tour Operator - Wholesale 1),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Standard Room, 1 Double Bed (1 Double Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Economy room with 2 twin beds twin  in block,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
